"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord_1160","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",11112,6,26,755,1895,3,156,19,104,25,114,3,2,11,10,0,14241,3129,21.97,19186,8074,42.08,11112,78.03
"2","Sauda_1135",43,1919,0,4,6,0,25,6,0,0,5,0,0,1,2,1,2012,93,4.62,1945,26,1.34,1919,95.38
"3","Bokn_1145",44,0,213,48,8,0,5,0,1,1,2,0,0,0,1,0,323,110,34.06,283,70,24.73,213,65.94
"4","Tysvær_1146",1502,1,27,2193,397,0,135,13,15,6,25,2,0,3,1,0,4320,2127,49.24,3728,1535,41.17,2193,50.76
"5","Karmøy_1149",4900,2,8,429,11107,1,89,8,30,19,63,0,1,6,8,0,16671,5564,33.38,13716,2609,19.02,11107,66.62
"6","Utsira_1151",4,0,0,0,1,102,0,0,0,0,0,0,0,0,0,0,107,5,4.67,106,4,3.77,102,95.33
"7","Vindafjord_1160",341,13,3,149,73,0,3167,102,9,2,25,0,0,4,3,2,3893,726,18.65,3930,763,19.41,3167,81.35
"8","Etne (-2019)_1211",75,0,1,24,11,0,280,1347,1,2,19,0,0,23,25,3,1811,464,25.62,1541,194,12.59,1347,74.38
"9","Sveio (-2019)_1216",828,1,5,97,128,0,32,3,930,16,88,2,0,3,0,0,2133,1203,56.4,1146,216,18.85,930,43.6
"10","Bømlo (1916-2019)_1219",90,0,0,4,52,0,10,4,18,4131,507,15,2,7,0,0,4840,709,14.65,4345,214,4.93,4131,85.35
"11","Stord (-2019)_1221",149,0,0,17,15,0,5,8,27,120,6884,176,18,43,4,0,7466,582,7.8,8501,1617,19.02,6884,92.2
"12","Fitjar (-2019)_1222",20,0,0,1,1,0,3,0,2,9,434,818,5,3,1,0,1297,479,36.93,1025,207,20.2,818,63.07
"13","Tysnes (-2019)_1223",5,0,0,1,3,0,2,1,1,1,73,2,894,13,3,0,999,105,10.51,936,42,4.49,894,89.49
"14","Kvinnherad (-2019)_1224",38,2,0,1,13,0,15,19,0,11,240,7,14,5426,42,5,5833,407,6.98,5567,141,2.53,5426,93.02
"15","Odda (1913-2019)_1228",26,1,0,5,4,0,5,9,8,0,16,0,0,19,2981,49,3123,142,4.55,3435,454,13.22,2981,95.45
"16","Ullensvang (1977-2019)_1231",9,0,0,0,2,0,1,2,0,2,6,0,0,5,354,1171,1552,381,24.55,1231,60,4.87,1171,75.45
