"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord_1160","Etne_4611","Sveio_4612","Bømlo_4613","Stord_4614","Fitjar_4615","Tysnes_4616","Kvinnherad_4617","Ullensvang_4618","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",11714,11,22,1029,2586,3,264,26,203,51,108,1,4,15,12,16049,4335,27.01,19864,8150,41.03,11714,72.99
"2","Sauda_1135",31,1789,0,2,6,0,27,2,1,0,1,0,0,2,2,1863,74,3.97,1829,40,2.19,1789,96.03
"3","Bokn_1145",50,0,223,41,41,0,16,0,1,0,2,0,0,1,0,375,152,40.53,311,88,28.3,223,59.47
"4","Tysvær_1146",1540,1,33,2270,645,0,267,6,43,9,23,0,0,0,1,4838,2568,53.08,4533,2263,49.92,2270,46.92
"5","Karmøy_1149",4916,9,31,712,11637,2,218,9,57,23,33,0,9,6,7,17669,6032,34.14,15384,3747,24.36,11637,65.86
"6","Utsira_1151",4,0,0,2,3,85,0,0,0,0,0,0,0,0,0,94,9,9.57,90,5,5.56,85,90.43
"7","Vindafjord_1160",306,10,1,238,103,0,3231,166,17,4,14,0,0,11,11,4112,881,21.43,4538,1307,28.8,3231,78.57
"8","Etne_4611",62,1,0,31,25,0,389,1306,1,0,11,0,4,28,22,1880,574,30.53,1576,270,17.13,1306,69.47
"9","Sveio_4612",856,2,1,145,195,0,48,6,1055,27,137,2,6,1,1,2482,1427,57.49,1476,421,28.52,1055,42.51
"10","Bømlo_4613",99,0,0,10,28,0,10,1,35,4277,623,25,7,8,3,5126,849,16.56,4720,443,9.39,4277,83.44
"11","Stord_4614",194,1,0,33,76,0,35,11,52,280,7314,169,32,33,9,8239,925,11.23,8989,1675,18.63,7314,88.77
"12","Fitjar_4615",28,0,0,6,10,0,5,0,8,20,472,819,5,2,0,1375,556,40.44,1026,207,20.18,819,59.56
"13","Tysnes_4616",5,0,0,0,6,0,1,1,3,4,66,5,948,24,1,1064,116,10.9,1052,104,9.89,948,89.1
"14","Kvinnherad_4617",35,1,0,9,14,0,18,32,0,24,178,4,36,5270,83,5704,434,7.61,5454,184,3.37,5270,92.39
"15","Ullensvang_4618",24,4,0,5,9,0,9,10,0,1,7,1,1,53,4711,4835,124,2.56,4863,152,3.13,4711,97.44
